ID,Province,Regency,District
181,ACEH,KABUPATEN ACEH UTARA,COT GIREK
182,ACEH,KABUPATEN ACEH UTARA,TANAH JAMBO AYE
183,ACEH,KABUPATEN ACEH UTARA,LANGKAHAN
184,ACEH,KABUPATEN ACEH UTARA,SEUNUDDON
185,ACEH,KABUPATEN ACEH UTARA,BAKTIYA
186,ACEH,KABUPATEN ACEH UTARA,BAKTIYA BARAT
187,ACEH,KABUPATEN ACEH UTARA,LHOKSUKON
188,ACEH,KABUPATEN ACEH UTARA,TANAH LUAS
189,ACEH,KABUPATEN ACEH UTARA,NIBONG
190,ACEH,KABUPATEN ACEH UTARA,SAMUDERA
191,ACEH,KABUPATEN ACEH UTARA,SYAMTALIRA ARON
192,ACEH,KABUPATEN ACEH UTARA,TANAH PASIR
193,ACEH,KABUPATEN ACEH UTARA,LAPANG
194,ACEH,KABUPATEN ACEH UTARA,MUARA BATU
195,ACEH,KABUPATEN ACEH UTARA,DEWANTARA
196,ACEH,KABUPATEN ACEH BARAT DAYA,MANGGENG
197,ACEH,KABUPATEN ACEH BARAT DAYA,LEMBAH SABIL
198,ACEH,KABUPATEN ACEH BARAT DAYA,TANGAN-TANGAN
199,ACEH,KABUPATEN ACEH BARAT DAYA,SETIA
200,ACEH,KABUPATEN ACEH BARAT DAYA,BLANG PIDIE
201,ACEH,KABUPATEN ACEH BARAT DAYA,JEUMPA
202,ACEH,KABUPATEN ACEH BARAT DAYA,SUSOH
203,ACEH,KABUPATEN ACEH BARAT DAYA,KUALA BATEE
204,ACEH,KABUPATEN ACEH BARAT DAYA,BABAH ROT
205,ACEH,KABUPATEN GAYO LUES,KUTA PANJANG
206,ACEH,KABUPATEN GAYO LUES,BLANG JERANGO
207,ACEH,KABUPATEN GAYO LUES,BLANGKEJEREN
208,ACEH,KABUPATEN GAYO LUES,PUTRI BETUNG
209,ACEH,KABUPATEN GAYO LUES,DABUN GELANG
210,ACEH,KABUPATEN GAYO LUES,BLANG PEGAYON
211,ACEH,KABUPATEN GAYO LUES,PINING
212,ACEH,KABUPATEN GAYO LUES,RIKIT GAIB
213,ACEH,KABUPATEN GAYO LUES,PANTAN CUACA
214,ACEH,KABUPATEN GAYO LUES,TERANGUN
215,ACEH,KABUPATEN GAYO LUES,TRIPE JAYA
216,ACEH,KABUPATEN ACEH TAMIANG,TAMIANG HULU
217,ACEH,KABUPATEN ACEH TAMIANG,BANDAR PUSAKA
218,ACEH,KABUPATEN ACEH TAMIANG,KEJURUAN MUDA
219,ACEH,KABUPATEN ACEH TAMIANG,TENGGULUN
220,ACEH,KABUPATEN ACEH TAMIANG,RANTAU
221,ACEH,KABUPATEN ACEH TAMIANG,KOTA KUALA SIMPANG
222,ACEH,KABUPATEN ACEH TAMIANG,SERUWAY
223,ACEH,KABUPATEN ACEH TAMIANG,BENDAHARA
224,ACEH,KABUPATEN ACEH TAMIANG,BANDA MULIA
225,ACEH,KABUPATEN ACEH TAMIANG,KARANG BARU
226,ACEH,KABUPATEN ACEH TAMIANG,SEKERAK
227,ACEH,KABUPATEN ACEH TAMIANG,MANYAK PAYED
